County,2012,2013,2014,2015,2016,2017
Allen,2.6,1.9,1.9,3,4.4,4.5
Anderson,2.1,2.1,3.1,1.1,1.6,2.2
Atchison,3.4,2,2.3,2,2.6,2.6
Barber,3.1,2.7,3.4,1,2.4,1.1
Barton,4,3.6,3.6,3.3,2.9,3.6
Bourbon,4.6,5.5,5.5,4.2,4.5,3.6
Brown,2,1.5,2.2,1.9,1.9,1.8
Butler,2.6,2.3,1.8,1.9,1.8,1.7
Chase,2.5,0,1.1,1.1,0.4,0.4
Chautauqua,1,0.3,0.7,0,0,0.6
Cherokee,2.8,3,3,3,3.1,3.2
Cheyenne,1.1,2.6,2.2,1.9,1.5,3
Clark,1.9,0.9,2.3,0.5,1,1
Clay,1.6,2.8,1.8,1.9,1.5,2.5
Cloud,4.6,4.3,4.9,4.5,3.1,3.1
Coffey,2,0.9,0.4,1.3,1.4,1.1
Comanche,5.5,3.8,,,,0
Cowley,4.2,3.4,2.9,2.7,3.5,3.2
Crawford,3.2,3.2,2.7,2.8,3.2,3.6
Decatur,2.3,0,1.1,0,1.1,0.6
Dickinson,1.4,1.6,1.2,1.5,1.4,1.4
Doniphan,2.6,1.9,1.3,2.6,0.6,1.3
Douglas,3.8,3.2,3.2,2.4,3.3,3.4
Edwards,0.3,1.7,1.7,0.3,0.7,0.7
Elk,0,1,0,0,0.4,0
Ellis,3.9,3.2,2.6,3.6,2.9,3.4
Ellsworth,1.5,1.1,2.1,2.5,1,4
Finney,4.2,3.9,5.1,4.3,4.8,5.5
Ford,3.7,2.4,3.9,3,3.3,4.8
Franklin,2.6,2.6,2.9,2.2,3.2,3.3
Geary,5.3,4.2,4.1,5.5,5.6,5.7
Gove,1.1,0.4,1.6,1.8,0,0.8
Graham,2.3,1.2,1.2,1.6,1.6,0.4
Grant,2.9,2.3,2.4,0.9,1.4,2.4
Gray,0.8,1.7,1.7,1.5,1,2.5
Greeley,0.8,0,1.5,0.8,1.5,1.5
Greenwood,1.5,3.1,1.1,1.8,3.1,2.6
Hamilton,1.1,2.7,0,1.6,1.2,4
Harper,2,4.7,3.6,3.7,3.4,2.1
Harvey,3.9,3.8,3.8,3.2,4.3,4.5
Haskell,2.3,1.4,1.7,2.5,0.5,0
Hodgeman,1,1,1,0,0.5,0.5
Jackson,1.6,1.7,1.8,2.6,1.7,2.2
Jefferson,2.4,2.2,1.6,2.1,2,1.3
Jewell,0,0,0,0,0,0
Johnson,1.6,1.3,1.4,1.6,1.6,1.6
Kearny,3,3,2.8,3.9,1.8,1.5
Kingman,2.3,1.6,1.8,1.7,1.7,2.4
Kiowa,0.4,0.8,1.6,1.2,0.4,0
Labette,3.3,3.6,3.8,3.8,4.3,5.2
Lane,2.3,3.5,1.7,2.4,3,2.5
Leavenworth,4.4,3.9,4.4,4.2,3.8,4.2
Lincoln,0,0.3,0.3,1.3,0.3,0.3
Linn,2.7,1.3,1.2,0.8,1,1.2
Logan,2.8,1.8,1.1,0,1.7,0.3
Lyon,2.1,0.7,1.2,1.6,2,1.8
Mcpherson,1.6,2,1.4,1.2,0.6,1.1
Marion,0.5,0.8,1,1.9,0.6,1.8
Marshall,1.3,1.3,1.3,0.8,1.4,1.5
Meade,7,1.2,1.9,0,1.2,1.9
Miami,1.9,2,1.7,1.5,2.5,1.9
Mitchell,3.2,3.4,3,1.9,0.7,0.9
Montgomery,6,5.2,6.5,4.2,4.9,4.3
Morris,1,1.5,1.4,2.1,0.5,2.4
Morton,2.2,1.3,3.5,4.5,4.8,0.4
Nemaha,1.2,1.3,1.2,1.4,1.1,0.4
Neosho,2.4,2.6,1.4,3.4,2.8,1.2
Ness,1.9,2.3,2.6,2.3,0.7,2.7
Norton,0.9,1.3,1.1,1.8,0.7,2.6
Osage,2.5,1.4,0.6,1.4,1.4,1.3
Osborne,0,0.8,0.8,0.3,1.1,1.7
Ottawa,0.5,1,1,1.2,0.2,1.3
Pawnee,3.3,2.2,2.6,4.4,2.7,1.8
Phillips,1.8,1.1,0.7,0.4,2.2,0.6
Pottawatomie,2.3,1.7,2.3,2.2,2.5,2.2
Pratt,3.2,3.4,1.5,1.7,1.3,1.4
Rawlins,1.6,1.9,2.3,1.2,1.2,0.8
Reno,4.6,4.7,3.6,4.4,3.1,4.4
Republic,1,1.5,2.5,0.4,0.9,0.9
Rice,1.1,2,0.8,1.9,2,2.3
Riley,2.4,2,2.3,2.2,2.5,3
Rooks,0.8,1,0.8,1,0,1.4
Rush,1.8,2.8,1.6,1.6,1,1.7
Russell,3.7,4,3,2.4,3.6,4.4
Saline,3.3,3,3.5,3.6,4.2,4
Scott,2.8,4.1,3.2,3.3,1.6,2.6
Sedgwick,6.1,6.4,6,7.9,8.5,8.5
Seward,3.2,3.1,3.4,4.3,2.5,3.6
Shawnee,4.9,4,4.1,4.2,4.6,5
Sheridan,1.6,1.5,0.8,0.8,0,0.4
Sherman,1.8,0,2.9,1.5,2.2,2.4
Smith,,0,0.5,6.6,0.5,2
Stafford,1.6,3.5,1.8,0.7,1.7,1.2
Stanton,0.4,0,,0,,0
Stevens,0.5,1,0.5,1,1.3,0.8
Sumner,2.4,2.6,1.9,2.4,1.7,2.7
Thomas,2.1,2.8,3.8,4.5,0.6,2
Trego,1,0,0.7,0.3,3.4,0.4
Wabaunsee,1.3,1.7,4.2,1.9,1.4,0.7
Wallace,,,,,,0
Washington,0.3,0.7,0.7,0.9,0.7,0.2
Wichita,2.2,1.8,5,0,0.5,2.4
Wilson,1.5,2.1,2.5,2.1,1.8,2.3
Woodson,2.7,0.9,3.1,4.5,2.6,1.3
Wyandotte,5.7,5,5.8,6.2,6.3,7.3
Kansas,3.5,3.2,3.2,3.6,3.7,4
